TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF
2024-11-11 10:19:28.761999;249929772;374.6;20.7;17;18
2024-11-11 10:19:28.812773;249942493;246.2;16.8;13;14
2024-11-11 10:19:28.862042;249956650;264.0;11.5;4;10
2024-11-11 10:19:28.912060;249963054;16.2;9.9;0;10
2024-11-11 10:19:28.962516;249960062;-220.8;9.2;-6;10
2024-11-11 10:19:29.012042;249946792;-267.0;11.2;-7;12
2024-11-11 10:19:29.062053;249931169;-275.6;15.4;-5;17
2024-11-11 10:19:29.112671;249921122;-79.0;18.8;5;20
2024-11-11 10:19:29.162049;249919506;0.8;19.9;4;20
2024-11-11 10:19:29.212058;249918623;-159.7;20.3;-8;21
2024-11-11 10:19:29.262058;249905301;-394.9;23.4;-23;25
2024-11-11 10:19:29.312043;249882866;-502.2;29.2;-24;32
2024-11-11 10:19:29.362045;249859391;-331.9;37.1;-5;39
2024-11-11 10:19:29.412807;249848108;-129.1;39.6;-6;40
2024-11-11 10:19:29.462072;249836530;-393.1;40.0;-37;40
2024-11-11 10:19:29.512218;249812309;-595.2;39.6;-59;40
2024-11-11 10:19:29.562087;249776330;-686.7;39.8;-69;40
2024-11-11 10:19:29.612043;249738402;-778.4;40.0;-83;40
2024-11-11 10:19:29.662539;249690821;-1020.2;38.4;-112;38
2024-11-11 10:19:29.712044;249632046;-1248.9;33.4;-114;30
2024-11-11 10:19:29.762810;249556644;-1246.8;23.6;-65;21
2024-11-11 10:19:29.812406;249502589;-437.0;17.2;2;14
2024-11-11 10:19:29.862301;249494447;61.6;13.2;7;13
2024-11-11 10:19:29.912699;249500693;264.5;13.4;19;14
2024-11-11 10:19:29.962226;249522281;548.8;15.7;34;17
2024-11-11 10:19:30.011973;249556600;832.2;18.3;57;21
2024-11-11 10:19:30.062379;249609275;1035.9;19.6;64;27
2024-11-11 10:19:30.111990;249662505;943.2;19.6;53;34
2024-11-11 10:19:30.161982;249710592;704.1;19.6;44;40
2024-11-11 10:19:30.211993;249746447;683.1;19.6;46;40
2024-11-11 10:19:30.262091;249785702;704.0;19.6;47;40
2024-11-11 10:19:30.312076;249823671;738.8;19.9;45;40
2024-11-11 10:19:30.361985;249862971;589.2;19.9;35;38
2024-11-11 10:19:30.411995;249890197;376.1;19.6;20;30
2024-11-11 10:19:30.461963;249906384;144.8;20.1;7;25
2024-11-11 10:19:30.511965;249909806;-16.1;24.7;-5;24
2024-11-11 10:19:30.561955;249900001;-520.9;25.4;-48;26
2024-11-11 10:19:30.611993;249861298;-1137.6;32.7;-107;38
2024-11-11 10:19:30.662031;249796293;-1101.1;39.1;-103;40
2024-11-11 10:19:30.711978;249741711;-996.1;39.8;-96;40
2024-11-11 10:19:30.761962;249687492;-873.0;38.0;-84;37
2024-11-11 10:19:30.812345;249640155;-1034.7;33.6;-108;31
2024-11-11 10:19:30.862001;249571274;-1415.5;25.8;-102;23
2024-11-11 10:19:30.912040;249494056;-1304.5;16.5;-35;13
2024-11-11 10:19:30.962035;249441648;-147.3;12.3;4;10
2024-11-11 10:19:31.012463;249442604;160.9;9.9;8;10
2024-11-11 10:19:31.062038;249456879;442.2;9.9;16;10
2024-11-11 10:19:31.112007;249483128;575.0;11.0;24;12
2024-11-11 10:19:31.161929;249520569;819.2;14.1;45;16
2024-11-11 10:19:31.211940;249570732;1165.7;18.3;73;23
2024-11-11 10:19:31.262349;249638526;1249.6;19.6;81;31
2024-11-11 10:19:31.311966;249705183;1238.1;19.9;72;39
2024-11-11 10:19:31.362046;249770283;1003.5;19.6;61;40
2024-11-11 10:19:31.411990;249820292;830.6;19.6;47;40
2024-11-11 10:19:31.461929;249862024;586.8;19.6;36;38
2024-11-11 10:19:31.511901;249889944;432.7;19.6;26;30
2024-11-11 10:19:31.561942;249910596;236.7;20.1;15;23
2024-11-11 10:19:31.611942;249919403;43.0;20.1;3;20
2024-11-11 10:19:31.661947;249917717;-280.1;20.5;-20;21
2024-11-11 10:19:31.711945;249895935;-753.1;25.2;-63;28
2024-11-11 10:19:31.761947;249844712;-1158.2;35.1;-98;40
2024-11-11 10:19:31.811931;249789741;-902.3;40.2;-79;40
2024-11-11 10:19:31.861951;249742561;-752.2;40.0;-71;40
2024-11-11 10:19:31.912359;249703295;-772.9;39.3;-79;39
2024-11-11 10:19:31.961952;249656770;-924.8;35.1;-97;33
2024-11-11 10:19:32.011955;249600957;-1236.5;28.7;-100;26
2024-11-11 10:19:32.061966;249525240;-1399.8;19.9;-70;17
2024-11-11 10:19:32.111949;249456930;-804.1;12.8;-4;10
2024-11-11 10:19:32.161904;249438753;16.5;9.5;3;10
2024-11-11 10:19:32.211958;249444280;311.9;10.3;12;10
2024-11-11 10:19:32.261966;249463951;375.3;9.7;13;10
2024-11-11 10:19:32.311972;249486484;554.9;10.8;25;12
2024-11-11 10:19:32.361994;249525438;950.2;15.0;55;17
2024-11-11 10:19:32.412081;249585035;1410.8;18.5;91;24
2024-11-11 10:19:32.461970;249668977;1512.9;19.4;90;35
2024-11-11 10:19:32.511987;249747111;1401.6;19.6;80;40
2024-11-11 10:19:32.561959;249820135;1047.8;19.9;58;40
2024-11-11 10:19:32.612380;249867765;663.9;19.6;36;37
2024-11-11 10:19:32.662019;249899827;440.0;19.9;27;27
2024-11-11 10:19:32.711973;249920182;283.9;19.2;17;20
2024-11-11 10:19:32.761978;249932274;88.1;17.6;3;17
2024-11-11 10:19:32.811994;249932063;-261.2;17.0;-22;17
2024-11-11 10:19:32.862106;249902576;-1099.8;22.1;-86;26
2024-11-11 10:19:32.911944;249833997;-1612.5;33.1;-141;40
2024-11-11 10:19:32.961982;249751927;-1149.8;39.8;-99;40
2024-11-11 10:19:33.012003;249700317;-751.7;39.6;-62;39
2024-11-11 10:19:33.062405;249660611;-689.9;36.0;-71;34
2024-11-11 10:19:33.112015;249618648;-966.1;30.9;-88;29
2024-11-11 10:19:33.162483;249557742;-1142.2;24.3;-75;21
2024-11-11 10:19:33.212010;249495925;-1094.8;15.4;-31;13
2024-11-11 10:19:33.262006;249449103;-194.3;12.3;3;10
2024-11-11 10:19:33.312415;249447866;168.8;10.1;10;10
2024-11-11 10:19:33.362024;249464778;492.4;10.1;18;10
2024-11-11 10:19:33.412540;249494070;634.6;11.5;27;13
2024-11-11 10:19:33.462043;249535702;1000.0;16.1;60;18
2024-11-11 10:19:33.512107;249597185;1428.0;19.0;90;26
2024-11-11 10:19:33.561961;249682194;1595.3;19.9;97;36
2024-11-11 10:19:33.612046;249762733;1333.3;19.4;74;40
2024-11-11 10:19:33.662693;249831001;983.4;19.9;56;40
2024-11-11 10:19:33.712156;249876375;639.2;19.6;37;34
