TIMESTAMP;PULL_CADENCE;MAX_POWER;MAX_SPEED;MAX_TORQUE
2025-01-09_17:57:23.383;0.00;6;0.0;30
2025-01-09_17:57:23.628;0.00;21;162.4;30
2025-01-09_17:57:23.928;0.00;5;1.2;30
2025-01-09_17:57:24.018;0.00;4;0.1;30
2025-01-09_17:57:25.458;41.67;112;577.0;30
2025-01-09_17:57:26.458;60.00;155;855.8;30
2025-01-09_17:57:27.448;60.61;165;922.3;30
2025-01-09_17:57:28.408;62.50;172;964.7;30
2025-01-09_17:57:29.368;62.50;172;976.3;30
2025-01-09_17:57:30.328;62.50;180;994.9;30
2025-01-09_17:57:31.318;60.61;189;1051.0;30
2025-01-09_17:57:32.278;62.50;191;1113.9;30
2025-01-09_17:57:33.268;60.61;192;1096.2;30
2025-01-09_17:57:34.258;60.61;192;1077.2;30
2025-01-09_17:57:35.218;62.50;188;1087.1;30
2025-01-09_17:57:36.178;62.50;187;1070.4;30
2025-01-09_17:57:37.138;62.50;189;1087.3;30
2025-01-09_17:57:38.098;62.50;183;1030.8;30
2025-01-09_17:57:39.058;62.50;174;991.1;30
2025-01-09_17:57:39.748;86.96;34;131.1;30
2025-01-09_17:57:40.438;86.96;0;0.7;30
2025-01-09_17:57:40.498;0.00;0;0.1;30
2025-01-09_17:57:41.308;74.07;0;0.1;30
2025-01-09_17:57:41.488;0.00;0;0.1;30
2025-01-09_17:57:41.668;0.00;0;0.1;30
2025-01-09_17:57:43.348;35.71;0;0.1;30
2025-01-09_17:57:50.548;0.00;0;0.1;30
2025-01-09_17:57:50.788;0.00;0;0.1;30
2025-01-10_14:02:01.866;0.00;0;0.2;30
2025-01-10_14:02:02.136;0.00;0;0.1;30
2025-01-10_14:02:04.086;30.77;0;0.1;30
2025-01-10_14:02:04.446;0.00;0;0.1;30
2025-01-10_14:02:05.916;40.82;0;0.1;30
2025-01-10_14:02:08.766;21.05;0;0.1;30
2025-01-10_14:02:09.216;0.00;0;0.1;30
2025-01-10_14:02:09.606;0.00;0;0.1;30
2025-01-10_14:02:11.436;32.79;0;0.1;30
2025-01-10_14:02:11.556;0.00;0;0.1;30
2025-01-10_14:02:11.796;0.00;0;0.5;30
2025-01-10_14:02:12.066;0.00;0;0.1;30
2025-01-10_14:02:12.276;0.00;0;0.1;30
2025-01-10_14:02:12.336;0.00;0;0.3;30
2025-01-10_14:02:13.026;86.96;0;0.1;30
2025-01-10_14:02:15.216;27.40;132;702.0;30
2025-01-10_14:02:16.206;60.61;164;911.8;30
2025-01-10_14:02:17.136;64.52;172;943.0;30
2025-01-10_14:02:18.066;64.52;191;1107.1;30
2025-01-10_14:02:18.996;64.52;190;1078.0;30
2025-01-10_14:02:19.926;64.52;186;1041.9;30
2025-01-10_14:02:20.856;64.52;191;1082.2;30
2025-01-10_14:02:21.756;66.67;197;1120.1;30
2025-01-10_14:02:22.746;60.61;190;1103.3;30
2025-01-10_14:02:23.886;52.63;205;1168.3;30
2025-01-10_14:02:25.356;40.82;165;956.7;30
2025-01-10_14:02:26.886;39.22;129;688.5;30
2025-01-10_14:02:28.686;33.33;118;622.5;30
2025-01-10_14:02:29.136;0.00;4;0.3;30
2025-01-10_14:02:29.256;0.00;4;0.1;30
2025-01-10_14:02:29.466;0.00;4;0.1;30
2025-01-10_14:02:29.856;0.00;4;0.1;30
2025-01-10_14:02:30.096;0.00;5;1.4;30
2025-01-10_14:02:30.336;0.00;4;0.4;30
2025-01-10_14:02:30.576;0.00;4;0.3;30
2025-01-10_14:02:30.846;0.00;4;1.1;30
2025-01-10_14:02:30.996;0.00;4;0.1;30
2025-01-10_14:02:31.146;0.00;4;0.1;30
2025-01-10_14:02:32.496;44.44;143;771.7;30
2025-01-10_14:02:33.456;62.50;183;1027.9;30
2025-01-10_14:02:34.416;62.50;192;1081.7;30
2025-01-10_14:02:35.406;60.61;195;1105.4;30
2025-01-10_14:02:36.486;55.56;195;1079.2;30
2025-01-10_14:02:37.566;55.56;188;1067.0;30
2025-01-10_14:02:38.616;57.14;196;1107.2;30
2025-01-10_14:02:39.666;57.14;211;1216.4;30
2025-01-10_14:02:40.686;58.82;216;1258.7;30
2025-01-10_14:02:41.706;58.82;205;1168.4;30
2025-01-10_14:02:42.816;54.05;210;1198.2;30
2025-01-10_14:02:44.796;30.30;17;90.7;30
2025-01-10_14:02:46.266;40.82;20;256.2;30
2025-01-10_14:02:46.356;0.00;4;34.6;30
2025-01-10_14:02:46.536;0.00;6;27.0;30
2025-01-10_14:02:46.596;0.00;1;38.2;30
2025-01-10_14:02:46.716;0.00;0;41.2;30
2025-01-10_14:02:46.806;0.00;2;99.8;30
2025-01-10_14:02:46.866;0.00;0;4.8;30
2025-01-10_14:02:46.956;0.00;0;0.1;30
2025-01-10_14:02:47.046;0.00;0;0.1;30
2025-01-10_14:02:48.036;60.61;4;1.6;30
2025-01-10_14:02:48.096;0.00;5;18.2;30
2025-01-10_14:02:48.306;0.00;5;9.9;30
2025-01-10_14:02:48.396;0.00;5;10.2;30
2025-01-10_14:02:49.986;37.74;161;876.5;30
2025-01-10_14:02:51.096;54.05;14;173.6;30
2025-01-10_14:02:51.426;0.00;7;0.1;30
2025-01-10_14:02:51.516;0.00;0;0.1;30
2025-01-10_14:03:54.457;0.00;0;0.1;30
2025-01-10_14:03:54.667;0.00;0;0.1;30
2025-01-10_14:03:55.177;0.00;0;0.2;30
2025-01-10_14:03:55.327;0.00;0;0.1;30
2025-01-10_14:04:09.582;0.00;0;0.1;30
2025-01-10_14:04:09.882;0.00;0;0.1;30
2025-01-10_14:04:35.952;0.00;0;0.1;30
2025-01-10_14:04:41.832;0.00;0;0.3;30
2025-01-10_14:04:41.952;0.00;0;0.1;30
2025-01-10_14:04:42.042;0.00;0;0.1;30
2025-01-10_14:04:42.192;0.00;0;0.1;30
2025-01-10_14:04:42.372;0.00;0;0.3;30
2025-01-10_14:04:42.582;0.00;0;0.1;30
2025-01-10_14:04:43.482;66.67;8;64.5;30
2025-01-10_14:04:44.772;46.51;168;943.5;30
2025-01-10_14:04:45.643;68.89;179;991.7;30
2025-01-10_14:04:46.513;68.97;193;1084.3;30
2025-01-10_14:04:47.532;58.88;198;1110.3;30
2025-01-10_14:04:48.522;60.61;186;1056.5;30
2025-01-10_14:04:50.113;37.71;187;1045.4;30
2025-01-10_14:04:51.283;51.28;172;944.9;30
2025-01-10_14:04:52.513;48.78;160;891.3;30
2025-01-10_14:04:53.803;46.51;166;939.3;30
2025-01-10_14:04:55.243;41.67;146;794.6;30
2025-01-10_14:04:56.023;76.92;55;192.4;30
2025-01-10_14:04:57.943;31.25;110;553.6;30
2025-01-10_14:04:59.323;43.48;178;1013.1;30
2025-01-10_14:05:00.553;48.78;186;1063.0;30
2025-01-10_14:05:01.783;48.78;193;1116.2;30
2025-01-10_14:05:02.953;51.28;207;1165.2;30
2025-01-10_14:05:04.183;48.78;189;1064.0;30
2025-01-10_14:05:05.323;52.63;190;1061.0;30
2025-01-10_14:05:05.803;0.00;4;0.1;30
2025-01-10_14:05:05.923;0.00;4;0.1;30
2025-01-10_14:05:06.073;0.00;4;0.1;30
2025-01-10_14:05:06.193;0.00;4;0.1;30
2025-01-10_14:05:06.463;0.00;4;0.1;30
2025-01-10_14:05:06.883;0.00;4;0.1;30
2025-01-10_14:05:06.943;0.00;4;0.1;30
2025-01-10_14:05:07.813;68.97;4;0.1;30
2025-01-10_14:05:07.873;0.00;4;0.1;30
2025-01-10_14:05:08.233;0.00;4;0.1;30
2025-01-10_14:05:08.323;0.00;4;0.1;30
2025-01-10_14:05:09.073;80.00;4;0.1;30
2025-01-10_14:05:09.313;0.00;4;0.1;30
2025-01-10_14:05:10.693;43.48;13;142.9;30
2025-01-10_14:05:10.963;0.00;0;0.3;30
2025-01-10_14:05:18.973;0.00;0;0.1;30
2025-01-10_14:05:19.783;74.07;10;97.1;30
2025-01-10_14:05:20.923;52.63;208;1183.0;30
2025-01-10_14:05:21.913;60.61;203;1160.7;30
2025-01-10_14:05:22.933;58.82;204;1175.7;30
2025-01-10_14:05:23.953;58.82;211;1205.6;30
2025-01-10_14:05:25.003;57.14;208;1191.8;30
2025-01-10_14:05:26.053;57.14;212;1222.6;30
2025-01-10_14:05:27.253;50.00;201;1157.7;30
2025-01-10_14:05:27.613;0.00;10;104.5;30
2025-01-10_14:05:27.973;0.00;0;0.1;30
2025-01-10_14:05:28.093;0.00;0;0.1;30
2025-01-10_14:08:01.395;0.00;0;0.1;30
2025-01-10_14:08:01.580;0.00;0;0.1;30
2025-01-10_14:08:01.760;0.00;0;0.1;30
2025-01-10_14:08:02.150;0.00;0;0.1;30
2025-01-10_14:08:02.330;0.00;0;0.1;30
2025-01-10_14:08:02.510;0.00;0;0.1;30
2025-01-10_14:08:02.660;0.00;0;0.1;30
2025-01-10_14:08:02.870;0.00;0;0.1;30
2025-01-10_14:08:03.050;0.00;0;0.1;30
2025-01-10_14:08:18.350;0.00;0;0.1;30
2025-01-10_14:08:18.560;0.00;0;0.2;30
2025-01-10_14:08:18.650;0.00;0;0.3;30
2025-01-10_14:08:18.710;0.00;0;0.1;30
2025-01-10_14:08:18.770;0.00;0;0.1;30
2025-01-10_14:08:18.980;0.00;0;0.1;30
