TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:13.641263;249904613;130.7;18.5;3;11;0
2024-11-12 18:03:13.686272;249910266;78.8;11.0;6;10;0
2024-11-12 18:03:13.731241;249918330;156.7;10.3;4;9;0
2024-11-12 18:03:13.776249;249922874;19.3;9.0;1;8;0
2024-11-12 18:03:13.821407;249923766;-1.5;8.1;0;8;292.6829268292683
2024-11-12 18:03:13.866181;249922568;-22.3;7.9;0;8;292.6829268292683
2024-11-12 18:03:13.911320;249921989;-14.0;7.9;0;8;292.6829268292683
2024-11-12 18:03:13.956124;249921284;-10.0;8.1;0;9;292.6829268292683
2024-11-12 18:03:14.001312;249919683;-45.9;8.8;-1;9;292.6829268292683
2024-11-12 18:03:14.046130;249914444;-140.9;9.7;-5;10;292.6829268292683
2024-11-12 18:03:14.091231;249905027;-210.8;9.7;-7;11;292.6829268292683
2024-11-12 18:03:14.136140;249891335;-301.2;11.7;-9;13;292.6829268292683
2024-11-12 18:03:14.181224;249873954;-328.5;13.2;-11;16;292.6829268292683
2024-11-12 18:03:14.226235;249858707;-288.4;16.1;-12;18;292.6829268292683
2024-11-12 18:03:14.271483;249844557;-273.5;18.5;-14;20;292.6829268292683
2024-11-12 18:03:14.316122;249829235;-328.5;19.6;-19;20;292.6829268292683
2024-11-12 18:03:14.361171;249808218;-428.7;19.9;-25;20;292.6829268292683
2024-11-12 18:03:14.406120;249783857;-547.7;20.1;-34;20;292.6829268292683
2024-11-12 18:03:14.451301;249752105;-710.2;19.6;-44;20;292.6829268292683
2024-11-12 18:03:14.496133;249712587;-877.3;19.9;-50;20;292.6829268292683
2024-11-12 18:03:14.541310;249663735;-952.8;19.2;-49;18;292.6829268292683
2024-11-12 18:03:14.586139;249617724;-964.4;17.0;-41;15;292.6829268292683
2024-11-12 18:03:14.631415;249572994;-922.1;13.2;-27;12;292.6829268292683
2024-11-12 18:03:14.676624;249535966;-697.4;11.2;-14;10;292.6829268292683
2024-11-12 18:03:14.721599;249509101;-414.2;9.2;-4;8;292.6829268292683
2024-11-12 18:03:14.766542;249500548;-81.7;8.1;1;8;292.6829268292683
2024-11-12 18:03:14.811646;249501347;34.5;8.1;4;8;292.6829268292683
2024-11-12 18:03:14.856761;249508595;212.3;7.7;8;8;292.6829268292683
2024-11-12 18:03:14.901382;249525623;376.0;7.9;12;9;292.6829268292683
2024-11-12 18:03:14.946169;249548392;524.2;9.5;20;11;292.6829268292683
2024-11-12 18:03:14.991424;249579041;701.0;11.0;27;12;292.6829268292683
2024-11-12 18:03:15.036272;249615660;816.7;13.0;38;15;292.6829268292683
2024-11-12 18:03:15.081331;249660878;890.0;15.2;44;17;292.6829268292683
2024-11-12 18:03:15.126410;249703279;901.2;17.4;52;20;292.6829268292683
2024-11-12 18:03:15.171349;249745371;877.0;19.2;51;20;292.6829268292683
2024-11-12 18:03:15.216231;249783956;771.6;19.6;45;20;292.6829268292683
2024-11-12 18:03:15.261278;249820102;640.5;19.6;37;20;292.6829268292683
2024-11-12 18:03:15.306268;249845730;476.1;19.4;25;20;292.6829268292683
2024-11-12 18:03:15.351767;249862592;298.2;19.2;14;18;292.6829268292683
2024-11-12 18:03:15.396258;249871055;89.6;17.0;2;16;292.6829268292683
2024-11-12 18:03:15.441414;249869303;-94.7;16.5;-10;17;37.03703703703704
2024-11-12 18:03:15.486321;249856222;-354.8;17.4;-25;19;37.03703703703704
2024-11-12 18:03:15.531329;249829703;-627.2;18.5;-40;20;37.03703703703704
2024-11-12 18:03:15.577014;249792118;-812.2;19.9;-44;20;37.03703703703704
2024-11-12 18:03:15.621445;249752562;-844.5;19.9;-52;20;37.03703703703704
2024-11-12 18:03:15.666252;249702119;-1037.0;19.6;-62;20;37.03703703703704
2024-11-12 18:03:15.711583;249648055;-1125.8;18.8;-54;17;37.03703703703704
2024-11-12 18:03:15.756259;249597411;-1031.5;16.3;-37;14;37.03703703703704
2024-11-12 18:03:15.801435;249550641;-835.3;13.4;-21;11;37.03703703703704
2024-11-12 18:03:15.846251;249519088;-599.1;10.1;-11;9;37.03703703703704
2024-11-12 18:03:15.891337;249498696;-356.9;8.1;-3;7;37.03703703703704
2024-11-12 18:03:15.936513;249489080;-146.6;7.0;0;7;37.03703703703704
2024-11-12 18:03:15.981459;249488037;3.4;6.6;1;7;37.03703703703704
2024-11-12 18:03:16.026390;249490843;93.4;6.4;4;7;37.03703703703704
2024-11-12 18:03:16.071591;249500667;288.4;7.0;8;8;37.03703703703704
2024-11-12 18:03:16.116275;249519028;435.3;8.1;14;9;37.03703703703704
2024-11-12 18:03:16.161335;249544914;623.4;9.0;22;10;37.03703703703704
2024-11-12 18:03:16.206284;249583103;779.8;10.6;29;13;37.03703703703704
2024-11-12 18:03:16.251465;249620845;797.3;13.2;34;15;37.03703703703704
2024-11-12 18:03:16.296281;249658765;815.5;15.4;41;17;37.03703703703704
2024-11-12 18:03:16.341579;249700311;796.2;17.2;49;20;37.03703703703704
2024-11-12 18:03:16.386298;249739558;841.9;19.4;51;20;37.03703703703704
2024-11-12 18:03:16.431461;249778259;802.6;19.6;49;20;37.03703703703704
2024-11-12 18:03:16.476574;249814061;697.7;19.6;39;20;37.03703703703704
2024-11-12 18:03:16.521354;249844122;497.2;19.9;22;20;37.03703703703704
2024-11-12 18:03:16.566271;249857979;192.8;19.0;3;18;37.03703703703704
2024-11-12 18:03:16.611584;249856905;-90.9;18.3;-16;18;51.282051282051285
2024-11-12 18:03:16.656270;249838064;-580.5;18.3;-49;20;51.282051282051285
2024-11-12 18:03:16.702069;249789266;-1105.0;19.2;-72;20;51.282051282051285
2024-11-12 18:03:16.746265;249726196;-1341.3;19.9;-71;20;51.282051282051285
2024-11-12 18:03:16.791327;249665046;-1224.7;19.2;-58;18;51.282051282051285
2024-11-12 18:03:16.836456;249611672;-1050.0;16.8;-37;14;51.282051282051285
2024-11-12 18:03:16.881361;249564845;-835.4;13.4;-22;12;51.282051282051285
