TIMESTAMP;PULL_CADENCE;MAX_POWER;MAX_SPEED;MAX_TORQUE
2025-01-09_07:26:51.449;0.00;5;0.0;30
2025-01-09_07:26:51.838;0.00;19;102.4;30
2025-01-09_07:26:52.318;0.00;5;4.3;30
2025-01-09_07:26:52.408;0.00;4;0.1;30
2025-01-09_07:26:52.528;0.00;4;0.1;30
2025-01-09_07:26:52.828;0.00;4;0.1;30
2025-01-09_07:26:52.918;0.00;4;0.1;30
2025-01-09_07:26:53.038;0.00;4;0.1;30
2025-01-09_07:26:53.128;0.00;4;0.1;30
2025-01-09_07:26:53.188;0.00;4;0.1;30
2025-01-09_07:26:53.518;0.00;4;0.1;30
2025-01-09_07:26:53.638;0.00;4;0.1;30
2025-01-09_07:26:53.998;0.00;4;0.1;30
2025-01-09_07:26:54.089;0.00;4;0.1;30
2025-01-09_07:26:54.268;0.00;4;0.2;30
2025-01-09_07:26:54.418;0.00;4;0.1;30
2025-01-09_07:26:55.319;66.59;7;44.9;30
2025-01-09_07:26:55.528;0.00;5;0.1;30
2025-01-09_07:26:55.678;0.00;4;0.1;30
2025-01-09_07:26:55.738;0.00;4;0.1;30
2025-01-09_07:26:56.068;0.00;5;0.1;30
2025-01-09_07:26:56.219;0.00;4;0.1;30
2025-01-09_07:26:56.339;0.00;4;0.1;30
2025-01-09_07:26:56.759;0.00;4;0.1;30
2025-01-09_07:26:57.059;0.00;4;0.1;30
2025-01-09_07:26:57.119;0.00;4;0.1;30
2025-01-09_07:26:57.328;0.00;4;0.1;30
2025-01-09_07:26:57.568;0.00;4;0.1;30
2025-01-09_07:26:57.688;0.00;4;0.1;30
2025-01-09_07:26:58.288;100.00;5;0.1;30
2025-01-09_07:26:58.588;0.00;4;0.1;30
2025-01-09_07:26:59.218;95.24;6;25.4;30
2025-01-09_07:26:59.399;0.00;4;0.1;30
2025-01-09_07:27:00.119;83.33;4;0.5;30
2025-01-09_07:27:00.569;0.00;8;61.3;30
2025-01-09_07:27:00.779;0.00;4;0.4;30
2025-01-09_07:27:00.839;0.00;4;0.1;30
2025-01-09_07:27:00.989;0.00;4;1.1;30
2025-01-09_07:27:01.199;0.00;5;7.2;30
2025-01-09_07:27:01.379;0.00;4;0.5;30
2025-01-09_07:27:01.619;0.00;4;0.1;30
2025-01-09_07:27:01.739;0.00;4;0.8;30
2025-01-09_07:27:02.099;0.00;5;13.3;30
2025-01-09_07:27:02.459;0.00;12;131.2;30
2025-01-09_07:27:02.819;0.00;7;42.8;30
2025-01-09_07:27:03.029;0.00;4;0.1;30
2025-01-09_07:27:03.359;0.00;6;15.0;30
2025-01-09_07:27:03.689;0.00;7;37.5;30
2025-01-09_07:27:03.929;0.00;5;3.0;30
2025-01-09_07:27:04.139;0.00;4;0.1;30
2025-01-09_07:27:04.259;0.00;4;0.1;30
2025-01-09_07:27:04.349;0.00;5;1.3;30
2025-01-09_07:27:05.219;68.97;9;70.4;30
2025-01-09_07:27:05.699;0.00;9;76.3;30
2025-01-09_07:27:06.659;62.50;5;0.8;30
2025-01-09_07:27:07.649;60.61;9;6.8;30
2025-01-09_07:27:09.449;33.33;115;673.5;30
2025-01-09_07:27:10.589;52.63;168;992.2;30
2025-01-09_07:27:11.759;51.28;170;973.6;30
2025-01-09_07:27:12.899;52.63;178;1025.5;30
2025-01-09_07:27:14.009;54.05;183;1025.1;30
2025-01-09_07:27:15.149;52.63;184;1040.2;30
2025-01-09_07:27:16.379;48.78;148;819.0;30
2025-01-09_07:27:18.839;24.39;4;0.1;30
2025-01-09_07:27:19.199;0.00;4;0.1;30
2025-01-09_07:27:19.319;0.00;4;0.1;30
2025-01-09_07:27:19.889;0.00;4;0.1;30
2025-01-09_07:27:20.009;0.00;4;0.1;30
2025-01-09_07:27:21.689;35.71;169;934.5;30
2025-01-09_07:27:21.899;0.00;13;30.4;30
2025-01-09_07:27:22.019;0.00;11;7.2;30
2025-01-09_07:27:22.110;0.00;11;0.6;30
2025-01-09_07:27:22.679;0.00;13;34.4;30
